id,DISTRICT,SUB_DISTRI,COUNT_REQ,floors,UP_DMG,WALL_DMG,FLOOR_DMG,PILLAR_DMG,STRUCTURE_,BLDG_T,ZONE,ZONE_GROUP,SUB_ZONE,SoftClay_m,WaterConte,LiquidLimi,Plasticity,Total_Unit,Score_Rang,Zoning,total_dmg_score,total_dmg_class,total_dmg_class_id
1425529929,???????,????????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529930,???????,????????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529931,???????,????????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529932,???????,?????????,2,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529933,???????,?????????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529934,???????,?????????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
1425529935,???????,?????????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529936,???????,?????????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529937,???????,?????????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529938,???????,?????????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529939,???????,?????????,1,,0,0,0,0,1,bridge,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
1425529940,???????,?????????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529941,???????,?????????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529942,???????,?????????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
1425529943,??????,???????,1,,0,0,0,0,1,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.202734137,???????,1
1425529944,??????,???????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529945,??????,???????,1,,0,0,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
1425529946,??????,???????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529947,??????,???????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
1425529948,??????,???????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529949,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529950,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529951,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529952,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529953,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529954,??????,???????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529955,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529956,??????,???????,1,,0,0,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
1425529957,??????,???????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529958,??????,???????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529959,??????,???????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529960,??????,??????,2,,0,2,0,0,2,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.440015172,??????,4
1425529961,??????,???????,1,,0,1,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.118640518,???????,1
1425529962,??????,???????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529963,??????,??????,1,,0,0,0,0,0,condo,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529964,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529965,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529966,??????,??????,1,,0,0,0,0,0,other,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529967,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529968,??????,??????,1,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529969,??????,??????,1,,0,0,0,0,0,building,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529970,??????,??????,2,,0,0,0,0,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529971,??????,??????,1,,0,0,0,1,0,house,?.?,???????? : ???????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0.207248399,????,2
1425529972,?????,????????,1,,0,0,0,0,0,other,?.?,????? : ??????????????????????????,?.?-,10-14,60-80,60-80,30-50,1.55-1.65,3.3-4.2,A,0,????????????????,0
1425529973,??????,???????,1,,0,1,0,1,0,condo,?.?,????? : ??????????????????????????,?.?-,14-18,80-100,80-100,50-60,1.45-1.55,4.2-5.0,B,0.325888917,???????,3
